"DO","time","day"
5.7,14:17:01,4
5.68,14:22:11,4
5.71,14:27:01,4
5.74,14:32:01,4
5.7,14:37:01,4
5.73,14:42:01,4
5.73,14:47:01,4
5.69,14:52:11,4
5.75,14:57:01,4
5.74,15:02:01,4
5.77,15:07:01,4
5.78,15:12:11,4
5.78,15:17:11,4
5.81,15:22:11,4
5.81,15:27:01,4
5.82,15:32:01,4
5.82,15:37:11,4
5.82,15:42:01,4
5.86,15:47:01,4
5.87,15:52:01,4
5.88,15:57:11,4
5.87,16:02:01,4
5.89,16:07:11,4
5.87,16:12:11,4
5.84,16:17:01,4
5.89,16:22:11,4
5.88,16:27:01,4
5.85,16:32:11,4
5.86,16:37:01,4
5.92,16:42:11,4
5.9,16:47:01,4
5.92,16:52:01,4
5.89,16:57:01,4
5.85,17:02:01,4
5.93,17:07:01,4
5.83,17:12:01,4
5.85,17:17:11,4
5.88,17:22:01,4
5.86,17:27:01,4
5.9,17:32:11,4
5.96,17:37:01,4
5.9,17:42:01,4
5.87,17:47:02,4
5.95,17:52:01,4
5.93,17:57:01,4
5.91,18:02:01,4
5.95,18:07:01,4
5.93,18:12:11,4
6.02,18:17:01,4
5.97,18:22:01,4
5.98,18:27:01,4
5.97,18:32:01,4
5.96,18:37:11,4
5.99,18:42:01,4
6.02,18:47:01,4
6.02,18:52:11,4
6.04,18:57:11,4
6.01,19:02:01,4
6,19:07:11,4
6.01,19:12:01,4
6.02,19:17:01,4
6.01,19:22:11,4
6.01,19:27:11,4
6.08,19:32:01,4
6.12,19:37:01,4
6.07,19:42:11,4
6.07,19:47:01,4
6.09,19:52:01,4
6.2,19:57:01,4
6.09,20:02:01,4
6.22,20:07:01,4
6.16,20:12:11,4
6.05,20:17:11,4
5.99,20:22:01,4
5.93,20:27:01,4
6.01,20:32:01,4
6.2,20:37:11,4
6.14,20:42:01,4
6.16,20:47:01,4
6.11,20:52:01,4
6.12,20:57:01,4
6.24,21:02:11,4
6.22,21:07:01,4
6.25,21:12:11,4
6.25,21:17:01,4
6.24,21:22:01,4
6.2,21:27:01,4
6.22,21:32:01,4
6.21,21:37:11,4
6.23,21:42:01,4
6.24,21:47:01,4
6.28,21:52:01,4
6.29,21:57:11,4
6.34,22:02:11,4
6.38,22:07:01,4
6.42,22:12:11,4
6.45,22:17:11,4
6.45,22:22:11,4
6.43,22:27:01,4
6.36,22:32:01,4
6.45,22:37:11,4
6.42,22:42:01,4
6.37,22:47:11,4
6.36,22:52:11,4
6.35,22:57:01,4
6.29,23:02:01,4
6.35,23:07:01,4
6.34,23:12:11,4
6.33,23:17:01,4
6.34,23:22:11,4
6.34,23:27:01,4
6.33,23:32:11,4
6.33,23:37:11,4
6.33,23:42:11,4
6.34,23:47:01,4
6.34,23:52:01,4
6.35,23:57:11,4
